epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1540421404907,2018-10-24T18.50.04.907,0.000,-0.118,0.919,-0.116
1540421404988,2018-10-24T18.50.04.988,0.081,-0.068,0.950,-0.100
1540421405069,2018-10-24T18.50.05.069,0.162,-0.090,0.944,-0.094
1540421405149,2018-10-24T18.50.05.149,0.242,-0.130,0.934,-0.112
1540421405228,2018-10-24T18.50.05.228,0.321,-0.136,0.933,-0.126
1540421405309,2018-10-24T18.50.05.309,0.402,-0.090,0.955,-0.105
1540421405389,2018-10-24T18.50.05.389,0.482,-0.087,0.943,-0.114
1540421405469,2018-10-24T18.50.05.469,0.562,-0.090,0.942,-0.133
1540421405549,2018-10-24T18.50.05.549,0.642,-0.100,0.937,-0.129
1540421405630,2018-10-24T18.50.05.630,0.723,-0.102,0.936,-0.125
1540421405710,2018-10-24T18.50.05.710,0.803,-0.095,0.936,-0.129
1540421405789,2018-10-24T18.50.05.789,0.882,-0.095,0.938,-0.128
1540421405870,2018-10-24T18.50.05.870,0.963,-0.097,0.937,-0.123
1540421405950,2018-10-24T18.50.05.950,1.043,-0.105,0.940,-0.118
1540421406031,2018-10-24T18.50.06.031,1.124,-0.103,0.933,-0.130
1540421406110,2018-10-24T18.50.06.110,1.203,-0.100,0.941,-0.134
1540421406191,2018-10-24T18.50.06.191,1.284,-0.109,0.940,-0.135
1540421406271,2018-10-24T18.50.06.271,1.364,-0.116,0.937,-0.130
1540421406350,2018-10-24T18.50.06.350,1.443,-0.112,0.943,-0.129
1540421406431,2018-10-24T18.50.06.431,1.524,-0.095,0.937,-0.134
1540421406511,2018-10-24T18.50.06.511,1.604,-0.093,0.936,-0.142
1540421406591,2018-10-24T18.50.06.591,1.684,-0.102,0.938,-0.133
1540421406671,2018-10-24T18.50.06.671,1.764,-0.106,0.938,-0.126
1540421406752,2018-10-24T18.50.06.752,1.845,-0.107,0.937,-0.132
1540421406832,2018-10-24T18.50.06.832,1.925,-0.111,0.937,-0.131
1540421406911,2018-10-24T18.50.06.911,2.004,-0.120,0.935,-0.127
1540421406992,2018-10-24T18.50.06.992,2.085,-0.119,0.940,-0.131
1540421407073,2018-10-24T18.50.07.073,2.166,-0.113,0.936,-0.134
1540421407152,2018-10-24T18.50.07.152,2.245,-0.123,0.934,-0.131
1540421407232,2018-10-24T18.50.07.232,2.325,-0.119,0.940,-0.137
1540421407313,2018-10-24T18.50.07.313,2.406,-0.105,0.935,-0.148
1540421407393,2018-10-24T18.50.07.393,2.486,-0.098,0.941,-0.138
1540421407472,2018-10-24T18.50.07.472,2.565,-0.108,0.944,-0.121
1540421407553,2018-10-24T18.50.07.553,2.646,-0.126,0.938,-0.128
1540421407634,2018-10-24T18.50.07.634,2.727,-0.124,0.938,-0.134
1540421407713,2018-10-24T18.50.07.713,2.806,-0.131,0.942,-0.128
1540421407793,2018-10-24T18.50.07.793,2.886,-0.103,0.941,-0.116
1540421407874,2018-10-24T18.50.07.874,2.967,-0.108,0.933,-0.131
1540421407954,2018-10-24T18.50.07.954,3.047,-0.120,0.932,-0.134
1540421408033,2018-10-24T18.50.08.033,3.126,-0.122,0.936,-0.126
1540421408114,2018-10-24T18.50.08.114,3.207,-0.117,0.938,-0.120
1540421408195,2018-10-24T18.50.08.195,3.288,-0.118,0.937,-0.119
1540421408274,2018-10-24T18.50.08.274,3.367,-0.119,0.936,-0.125
1540421408354,2018-10-24T18.50.08.354,3.447,-0.120,0.938,-0.125
1540421408435,2018-10-24T18.50.08.435,3.528,-0.120,0.937,-0.121
1540421408515,2018-10-24T18.50.08.515,3.608,-0.120,0.938,-0.127
1540421408594,2018-10-24T18.50.08.594,3.687,-0.119,0.937,-0.131
1540421408675,2018-10-24T18.50.08.675,3.768,-0.116,0.938,-0.133
1540421408756,2018-10-24T18.50.08.756,3.849,-0.111,0.937,-0.129
1540421408835,2018-10-24T18.50.08.835,3.928,-0.116,0.934,-0.131
1540421408915,2018-10-24T18.50.08.915,4.008,-0.122,0.936,-0.130
1540421408996,2018-10-24T18.50.08.996,4.089,-0.102,0.947,-0.124
1540421409076,2018-10-24T18.50.09.076,4.169,-0.103,0.941,-0.128
1540421409156,2018-10-24T18.50.09.156,4.249,-0.109,0.940,-0.130
1540421409236,2018-10-24T18.50.09.236,4.329,-0.113,0.936,-0.131
1540421409317,2018-10-24T18.50.09.317,4.410,-0.113,0.938,-0.129
1540421409396,2018-10-24T18.50.09.396,4.489,-0.116,0.938,-0.125
1540421409476,2018-10-24T18.50.09.476,4.569,-0.115,0.935,-0.123
1540421409557,2018-10-24T18.50.09.557,4.650,-0.118,0.935,-0.121
1540421409637,2018-10-24T18.50.09.637,4.730,-0.117,0.936,-0.122
1540421409717,2018-10-24T18.50.09.717,4.810,-0.099,0.949,-0.132
1540421409797,2018-10-24T18.50.09.797,4.890,-0.091,0.947,-0.131
1540421409878,2018-10-24T18.50.09.878,4.971,-0.108,0.935,-0.121
1540421409957,2018-10-24T18.50.09.957,5.050,-0.125,0.936,-0.110
1540421410037,2018-10-24T18.50.10.037,5.130,-0.132,0.938,-0.111
1540421410118,2018-10-24T18.50.10.118,5.211,-0.131,0.940,-0.112
1540421410198,2018-10-24T18.50.10.198,5.291,-0.125,0.938,-0.115
