epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1540421404628,2018-10-24T18.50.04.628,0.000,-2.256,-10.366,2.195
1540421404667,2018-10-24T18.50.04.667,0.039,-2.378,-9.573,0.854
1540421404708,2018-10-24T18.50.04.708,0.080,-1.524,-3.720,-3.780
1540421404748,2018-10-24T18.50.04.748,0.120,-1.585,9.329,-13.110
1540421404787,2018-10-24T18.50.04.787,0.159,0.732,19.390,-27.378
1540421404828,2018-10-24T18.50.04.828,0.200,3.049,19.512,-30.244
1540421404868,2018-10-24T18.50.04.868,0.240,0.976,11.463,-17.805
1540421404907,2018-10-24T18.50.04.907,0.279,2.927,0.915,-11.951
1540421404948,2018-10-24T18.50.04.948,0.320,3.232,-4.695,-6.098
1540421404988,2018-10-24T18.50.04.988,0.360,2.439,-4.573,-1.220
1540421405028,2018-10-24T18.50.05.028,0.400,1.463,-3.049,2.622
1540421405069,2018-10-24T18.50.05.069,0.441,0.671,0.854,3.598
1540421405108,2018-10-24T18.50.05.108,0.480,0.183,0.488,3.780
1540421405149,2018-10-24T18.50.05.149,0.521,1.280,-2.317,2.988
1540421405189,2018-10-24T18.50.05.189,0.561,3.354,-8.476,3.415
1540421405228,2018-10-24T18.50.05.228,0.600,7.195,-21.524,5.122
1540421405269,2018-10-24T18.50.05.269,0.641,13.171,-44.451,8.171
1540421405309,2018-10-24T18.50.05.309,0.681,9.634,-35.732,5.305
1540421405348,2018-10-24T18.50.05.348,0.720,2.500,-9.756,0.793
1540421405389,2018-10-24T18.50.05.389,0.761,2.561,-15.305,0.061
1540421405429,2018-10-24T18.50.05.429,0.801,1.402,-10.305,0.610
1540421405469,2018-10-24T18.50.05.469,0.841,0.122,-1.463,1.098
1540421405510,2018-10-24T18.50.05.510,0.882,-0.183,-1.707,2.561
1540421405549,2018-10-24T18.50.05.549,0.921,0.244,-3.537,2.195
1540421405589,2018-10-24T18.50.05.589,0.961,-0.427,0.549,0.793
1540421405630,2018-10-24T18.50.05.630,1.002,-0.488,-0.244,0.061
1540421405669,2018-10-24T18.50.05.669,1.041,-0.305,-0.305,-0.427
1540421405710,2018-10-24T18.50.05.710,1.082,0.061,1.524,-0.915
1540421405750,2018-10-24T18.50.05.750,1.122,0.122,1.707,-0.488
1540421405789,2018-10-24T18.50.05.789,1.161,-0.610,4.573,-1.037
1540421405830,2018-10-24T18.50.05.830,1.202,0.000,3.537,-1.220
1540421405870,2018-10-24T18.50.05.870,1.242,0.305,4.878,-1.220
1540421405909,2018-10-24T18.50.05.909,1.281,0.183,7.012,-0.732
1540421405950,2018-10-24T18.50.05.950,1.322,0.305,5.488,-0.854
1540421405990,2018-10-24T18.50.05.990,1.362,-0.122,6.829,-1.341
1540421406031,2018-10-24T18.50.06.031,1.403,0.244,6.768,-0.305
1540421406071,2018-10-24T18.50.06.071,1.443,0.488,7.744,-0.305
1540421406110,2018-10-24T18.50.06.110,1.482,-0.244,8.780,-0.366
1540421406151,2018-10-24T18.50.06.151,1.523,-0.854,8.659,0.488
1540421406191,2018-10-24T18.50.06.191,1.563,-1.037,7.927,0.488
1540421406230,2018-10-24T18.50.06.230,1.602,0.061,3.232,0.976
1540421406271,2018-10-24T18.50.06.271,1.643,0.000,5.610,0.000
1540421406311,2018-10-24T18.50.06.311,1.683,-0.427,8.354,-2.439
1540421406350,2018-10-24T18.50.06.350,1.722,-0.976,2.195,-2.073
1540421406391,2018-10-24T18.50.06.391,1.763,-1.220,0.183,-1.463
1540421406431,2018-10-24T18.50.06.431,1.803,-0.793,0.976,-1.341
1540421406470,2018-10-24T18.50.06.470,1.842,-0.610,0.305,-0.549
1540421406511,2018-10-24T18.50.06.511,1.883,-0.610,2.988,-0.610
1540421406551,2018-10-24T18.50.06.551,1.923,-0.244,3.902,-0.671
1540421406591,2018-10-24T18.50.06.591,1.963,-0.366,3.171,-0.244
1540421406632,2018-10-24T18.50.06.632,2.004,-0.549,3.293,-0.305
1540421406671,2018-10-24T18.50.06.671,2.043,0.000,2.866,-0.854
1540421406712,2018-10-24T18.50.06.712,2.084,-0.305,3.841,-0.793
1540421406752,2018-10-24T18.50.06.752,2.124,-0.488,4.451,-0.549
1540421406791,2018-10-24T18.50.06.791,2.163,0.122,3.537,-0.854
1540421406832,2018-10-24T18.50.06.832,2.204,0.488,3.537,-0.793
1540421406872,2018-10-24T18.50.06.872,2.244,0.061,3.415,0.427
