epoc (ms),timestamp (-0400),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1540421404541,2018-10-24T18.50.04.541,0.000,-0.002048000,-0.002048000,-0.000882750
1540421404641,2018-10-24T18.50.04.641,0.100,-0.002048000,-0.002048000,-0.000882500
1540421404740,2018-10-24T18.50.04.740,0.199,-0.002048000,-0.002048000,-0.000881750
1540421404840,2018-10-24T18.50.04.840,0.299,-0.002048000,-0.002048000,-0.000882062
1540421404938,2018-10-24T18.50.04.938,0.397,-0.002048000,-0.002048000,-0.000882438
1540421405038,2018-10-24T18.50.05.038,0.497,-0.002048000,-0.002048000,-0.000881312
1540421405137,2018-10-24T18.50.05.137,0.596,-0.002048000,-0.002048000,-0.000881750
1540421405237,2018-10-24T18.50.05.237,0.696,-0.002048000,-0.002048000,-0.000881750
1540421405337,2018-10-24T18.50.05.337,0.796,-0.002048000,-0.002048000,-0.000880813
1540421405435,2018-10-24T18.50.05.435,0.894,-0.002048000,-0.002048000,-0.000880687
1540421405534,2018-10-24T18.50.05.534,0.993,-0.002048000,-0.002048000,-0.000881312
1540421405634,2018-10-24T18.50.05.634,1.093,-0.002048000,-0.002048000,-0.000880687
1540421405734,2018-10-24T18.50.05.734,1.193,-0.002048000,-0.002048000,-0.000878437
1540421405833,2018-10-24T18.50.05.833,1.292,-0.002048000,-0.002048000,-0.000879063
1540421405931,2018-10-24T18.50.05.931,1.390,-0.002048000,-0.002048000,-0.000879063
1540421406031,2018-10-24T18.50.06.031,1.490,-0.002048000,-0.002048000,-0.000879375
1540421406131,2018-10-24T18.50.06.131,1.590,-0.002048000,-0.002048000,-0.000877875
1540421406230,2018-10-24T18.50.06.230,1.689,-0.002048000,-0.002048000,-0.000877875
1540421406330,2018-10-24T18.50.06.330,1.789,-0.002048000,-0.002048000,-0.000876375
1540421406428,2018-10-24T18.50.06.428,1.887,-0.002048000,-0.002048000,-0.000876688
1540421406528,2018-10-24T18.50.06.528,1.987,-0.002048000,-0.002048000,-0.000876312
1540421406627,2018-10-24T18.50.06.627,2.086,-0.002048000,-0.002048000,-0.000877437
1540421406727,2018-10-24T18.50.06.727,2.186,-0.002048000,-0.002048000,-0.000874750
1540421406826,2018-10-24T18.50.06.826,2.285,-0.002048000,-0.002048000,-0.000876188
1540421406925,2018-10-24T18.50.06.925,2.384,-0.002048000,-0.002048000,-0.000875312
1540421407024,2018-10-24T18.50.07.024,2.483,-0.002048000,-0.002048000,-0.000874562
1540421407124,2018-10-24T18.50.07.124,2.583,-0.002048000,-0.002048000,-0.000874750
1540421407223,2018-10-24T18.50.07.223,2.682,-0.002048000,-0.002048000,-0.000874750
1540421407323,2018-10-24T18.50.07.323,2.782,-0.002048000,-0.002048000,-0.000875938
1540421407421,2018-10-24T18.50.07.421,2.880,-0.002048000,-0.002048000,-0.000876000
