epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1540421405017,2018-10-24T18.50.05.017,0.000,0.149,1.000,-0.051
1540421405096,2018-10-24T18.50.05.096,0.079,0.146,1.009,-0.043
1540421405174,2018-10-24T18.50.05.174,0.157,0.146,1.007,-0.034
1540421405253,2018-10-24T18.50.05.253,0.236,0.149,1.007,-0.034
1540421405332,2018-10-24T18.50.05.332,0.315,0.152,1.007,-0.039
1540421405411,2018-10-24T18.50.05.411,0.394,0.152,1.006,-0.040
1540421405489,2018-10-24T18.50.05.489,0.472,0.154,1.008,-0.041
1540421405568,2018-10-24T18.50.05.568,0.551,0.150,1.007,-0.042
1540421405647,2018-10-24T18.50.05.647,0.630,0.144,1.007,-0.035
1540421405726,2018-10-24T18.50.05.726,0.709,0.146,1.007,-0.036
1540421405805,2018-10-24T18.50.05.805,0.788,0.150,1.006,-0.043
1540421405883,2018-10-24T18.50.05.883,0.866,0.154,1.007,-0.051
1540421405962,2018-10-24T18.50.05.962,0.945,0.155,1.007,-0.050
1540421406041,2018-10-24T18.50.06.041,1.024,0.151,1.006,-0.047
1540421406120,2018-10-24T18.50.06.120,1.103,0.146,1.006,-0.049
1540421406198,2018-10-24T18.50.06.198,1.181,0.143,1.007,-0.050
1540421406277,2018-10-24T18.50.06.277,1.260,0.145,1.006,-0.061
1540421406356,2018-10-24T18.50.06.356,1.339,0.161,1.006,-0.070
1540421406435,2018-10-24T18.50.06.435,1.418,0.158,1.007,-0.081
1540421406514,2018-10-24T18.50.06.514,1.497,0.151,1.007,-0.076
1540421406592,2018-10-24T18.50.06.592,1.575,0.155,1.004,-0.077
1540421406671,2018-10-24T18.50.06.671,1.654,0.154,1.005,-0.074
1540421406750,2018-10-24T18.50.06.750,1.733,0.150,1.005,-0.073
1540421406829,2018-10-24T18.50.06.829,1.812,0.150,1.005,-0.070
1540421406906,2018-10-24T18.50.06.906,1.889,0.149,1.005,-0.070
1540421406986,2018-10-24T18.50.06.986,1.969,0.147,1.005,-0.069
1540421407065,2018-10-24T18.50.07.065,2.048,0.146,1.005,-0.072
1540421407144,2018-10-24T18.50.07.144,2.127,0.147,1.006,-0.074
1540421407223,2018-10-24T18.50.07.223,2.206,0.150,1.006,-0.075
1540421407301,2018-10-24T18.50.07.301,2.284,0.152,1.006,-0.076
