epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1540421404780,2018-10-24T18.50.04.780,0.000,-1.524,-2.683,-0.549
1540421404819,2018-10-24T18.50.04.819,0.039,-1.159,-2.439,0.000
1540421404859,2018-10-24T18.50.04.859,0.079,-1.098,-2.256,-0.305
1540421404898,2018-10-24T18.50.04.898,0.118,-0.915,-1.402,-0.366
1540421404938,2018-10-24T18.50.04.938,0.158,-1.159,-2.195,-0.610
1540421404977,2018-10-24T18.50.04.977,0.197,-1.524,-3.354,-0.793
1540421405017,2018-10-24T18.50.05.017,0.237,-1.890,-3.537,-0.854
1540421405056,2018-10-24T18.50.05.056,0.276,-2.317,-3.902,-0.671
1540421405096,2018-10-24T18.50.05.096,0.316,-2.378,-3.293,-0.427
1540421405134,2018-10-24T18.50.05.134,0.354,-2.256,-3.537,-0.061
1540421405174,2018-10-24T18.50.05.174,0.394,-1.707,-2.439,0.183
1540421405213,2018-10-24T18.50.05.213,0.433,-1.220,-2.378,0.366
1540421405253,2018-10-24T18.50.05.253,0.473,-0.610,-1.220,0.427
1540421405292,2018-10-24T18.50.05.292,0.512,-0.427,-1.829,0.610
1540421405332,2018-10-24T18.50.05.332,0.552,-0.183,-0.061,0.366
1540421405371,2018-10-24T18.50.05.371,0.591,-0.244,-1.524,0.366
1540421405411,2018-10-24T18.50.05.411,0.631,-0.122,-0.976,0.122
1540421405450,2018-10-24T18.50.05.450,0.670,0.000,-1.341,0.000
1540421405489,2018-10-24T18.50.05.489,0.709,0.122,-0.061,-0.244
1540421405528,2018-10-24T18.50.05.528,0.748,-0.061,-0.976,-0.366
1540421405568,2018-10-24T18.50.05.568,0.788,-0.122,-1.280,-0.427
1540421405607,2018-10-24T18.50.05.607,0.827,0.122,-0.854,-0.366
1540421405647,2018-10-24T18.50.05.647,0.867,0.549,-0.183,0.000
1540421405686,2018-10-24T18.50.05.686,0.906,1.159,0.122,0.305
1540421405726,2018-10-24T18.50.05.726,0.946,1.524,-0.183,0.488
1540421405765,2018-10-24T18.50.05.765,0.985,1.585,0.244,0.488
1540421405805,2018-10-24T18.50.05.805,1.025,1.707,0.183,0.549
1540421405843,2018-10-24T18.50.05.843,1.063,1.829,0.976,0.427
1540421405883,2018-10-24T18.50.05.883,1.103,1.646,1.524,0.183
1540421405922,2018-10-24T18.50.05.922,1.142,1.341,1.829,-0.122
1540421405962,2018-10-24T18.50.05.962,1.182,1.341,1.280,-0.427
1540421406001,2018-10-24T18.50.06.001,1.221,1.585,0.305,-0.549
1540421406041,2018-10-24T18.50.06.041,1.261,1.585,0.061,-0.427
1540421406080,2018-10-24T18.50.06.080,1.300,2.012,1.890,-0.549
1540421406120,2018-10-24T18.50.06.120,1.340,2.195,0.488,-0.305
1540421406159,2018-10-24T18.50.06.159,1.379,2.744,0.793,0.122
1540421406198,2018-10-24T18.50.06.198,1.418,3.171,0.610,0.671
1540421406237,2018-10-24T18.50.06.237,1.457,3.720,2.012,0.976
1540421406277,2018-10-24T18.50.06.277,1.497,3.537,-0.305,1.585
1540421406316,2018-10-24T18.50.06.316,1.536,3.720,4.024,1.159
1540421406356,2018-10-24T18.50.06.356,1.576,3.354,2.805,0.610
1540421406395,2018-10-24T18.50.06.395,1.615,2.805,0.915,0.305
1540421406435,2018-10-24T18.50.06.435,1.655,1.829,1.524,0.000
1540421406474,2018-10-24T18.50.06.474,1.694,1.463,2.439,-0.061
1540421406514,2018-10-24T18.50.06.514,1.734,1.159,-0.549,0.244
1540421406552,2018-10-24T18.50.06.552,1.772,0.488,-1.280,0.000
1540421406592,2018-10-24T18.50.06.592,1.812,0.061,0.061,-0.366
1540421406631,2018-10-24T18.50.06.631,1.851,-0.122,-0.366,-0.305
1540421406671,2018-10-24T18.50.06.671,1.891,-0.305,-1.098,-0.366
1540421406710,2018-10-24T18.50.06.710,1.930,-0.488,0.183,-0.671
1540421406750,2018-10-24T18.50.06.750,1.970,-0.671,-1.524,-0.488
1540421406789,2018-10-24T18.50.06.789,2.009,-0.244,-0.122,-0.427
1540421406829,2018-10-24T18.50.06.829,2.049,-0.305,-0.854,-0.305
1540421406868,2018-10-24T18.50.06.868,2.088,-0.305,0.061,-0.427
1540421406908,2018-10-24T18.50.06.908,2.128,-0.366,-0.671,-0.305
1540421406946,2018-10-24T18.50.06.946,2.166,-0.305,-1.463,-0.244
1540421406986,2018-10-24T18.50.06.986,2.206,-0.122,-0.427,-0.244
1540421407025,2018-10-24T18.50.07.025,2.245,-0.061,-0.732,0.000
1540421407065,2018-10-24T18.50.07.065,2.285,0.122,-0.549,0.061
1540421407104,2018-10-24T18.50.07.104,2.324,0.000,-0.793,0.183
