epoc (ms),timestamp (-0400),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1540421404680,2018-10-24T18.50.04.680,0.000,-0.002048000,-0.002048000,-0.000043563
1540421404780,2018-10-24T18.50.04.780,0.100,-0.002048000,-0.002048000,-0.000043563
1540421404879,2018-10-24T18.50.04.879,0.199,-0.002048000,-0.002048000,-0.000043937
1540421404979,2018-10-24T18.50.04.979,0.299,-0.002048000,-0.002048000,-0.000043563
1540421405078,2018-10-24T18.50.05.078,0.398,-0.002048000,-0.002048000,-0.000043563
1540421405178,2018-10-24T18.50.05.178,0.498,-0.002048000,-0.002048000,-0.000044750
1540421405278,2018-10-24T18.50.05.278,0.598,-0.002048000,-0.002048000,-0.000044312
1540421405377,2018-10-24T18.50.05.377,0.697,-0.002048000,-0.002048000,-0.000043937
1540421405475,2018-10-24T18.50.05.475,0.795,-0.002048000,-0.002048000,-0.000044750
1540421405575,2018-10-24T18.50.05.575,0.895,-0.002048000,-0.002048000,-0.000044000
1540421405675,2018-10-24T18.50.05.675,0.995,-0.002048000,-0.002048000,-0.000042500
1540421405774,2018-10-24T18.50.05.774,1.094,-0.002048000,-0.002048000,-0.000043937
1540421405874,2018-10-24T18.50.05.874,1.194,-0.002048000,-0.002048000,-0.000043188
1540421405973,2018-10-24T18.50.05.973,1.293,-0.002048000,-0.002048000,-0.000042875
1540421406073,2018-10-24T18.50.06.073,1.393,-0.002048000,-0.002048000,-0.000042875
1540421406173,2018-10-24T18.50.06.173,1.493,-0.002048000,-0.002048000,-0.000042437
1540421406272,2018-10-24T18.50.06.272,1.592,-0.002048000,-0.002048000,-0.000042812
1540421406370,2018-10-24T18.50.06.370,1.690,-0.002048000,-0.002048000,-0.000041313
1540421406470,2018-10-24T18.50.06.470,1.790,-0.002048000,-0.002048000,-0.000041688
1540421406570,2018-10-24T18.50.06.570,1.890,-0.002048000,-0.002048000,-0.000042063
1540421406669,2018-10-24T18.50.06.669,1.989,-0.002048000,-0.002048000,-0.000041688
1540421406769,2018-10-24T18.50.06.769,2.089,-0.002048000,-0.002048000,-0.000040937
1540421406868,2018-10-24T18.50.06.868,2.188,-0.002048000,-0.002048000,-0.000041313
1540421406968,2018-10-24T18.50.06.968,2.288,-0.002048000,-0.002048000,-0.000041688
1540421407068,2018-10-24T18.50.07.068,2.388,-0.002048000,-0.002048000,-0.000039875
1540421407167,2018-10-24T18.50.07.167,2.487,-0.002048000,-0.002048000,-0.000042437
1540421407265,2018-10-24T18.50.07.265,2.585,-0.002048000,-0.002048000,-0.000042063
1540421407365,2018-10-24T18.50.07.365,2.685,-0.002048000,-0.002048000,-0.000041313
1540421407465,2018-10-24T18.50.07.465,2.785,-0.002048000,-0.002048000,-0.000041313
1540421407564,2018-10-24T18.50.07.564,2.884,-0.002048000,-0.002048000,-0.000042812
1540421407664,2018-10-24T18.50.07.664,2.984,-0.002048000,-0.002048000,-0.000042063
1540421407763,2018-10-24T18.50.07.763,3.083,-0.002048000,-0.002048000,-0.000041313
1540421407863,2018-10-24T18.50.07.863,3.183,-0.002048000,-0.002048000,-0.000041313
1540421407963,2018-10-24T18.50.07.963,3.283,-0.002048000,-0.002048000,-0.000040937
1540421408061,2018-10-24T18.50.08.061,3.381,-0.002048000,-0.002048000,-0.000042500
1540421408160,2018-10-24T18.50.08.160,3.480,-0.002048000,-0.002048000,-0.000043188
1540421408260,2018-10-24T18.50.08.260,3.580,-0.002048000,-0.002048000,-0.000043563
1540421408360,2018-10-24T18.50.08.360,3.680,-0.002048000,-0.002048000,-0.000042437
1540421408459,2018-10-24T18.50.08.459,3.779,-0.002048000,-0.002048000,-0.000042812
1540421408559,2018-10-24T18.50.08.559,3.879,-0.002048000,-0.002048000,-0.000042063
1540421408658,2018-10-24T18.50.08.658,3.978,-0.002048000,-0.002048000,-0.000042437
1540421408758,2018-10-24T18.50.08.758,4.078,-0.002048000,-0.002048000,-0.000041688
1540421408856,2018-10-24T18.50.08.856,4.176,-0.002048000,-0.002048000,-0.000042875
1540421408956,2018-10-24T18.50.08.956,4.276,-0.002048000,-0.002048000,-0.000043188
1540421409055,2018-10-24T18.50.09.055,4.375,-0.002048000,-0.002048000,-0.000042500
1540421409155,2018-10-24T18.50.09.155,4.475,-0.002048000,-0.002048000,-0.000042063
1540421409255,2018-10-24T18.50.09.255,4.575,-0.002048000,-0.002048000,-0.000043250
1540421409354,2018-10-24T18.50.09.354,4.674,-0.002048000,-0.002048000,-0.000042500
1540421409454,2018-10-24T18.50.09.454,4.774,-0.002048000,-0.002048000,-0.000041313
1540421409553,2018-10-24T18.50.09.553,4.873,-0.002048000,-0.002048000,-0.000042437
1540421409653,2018-10-24T18.50.09.653,4.973,-0.002048000,-0.002048000,-0.000042437
1540421409751,2018-10-24T18.50.09.751,5.071,-0.002048000,-0.002048000,-0.000041313
1540421409851,2018-10-24T18.50.09.851,5.171,-0.002048000,-0.002048000,-0.000042875
1540421409950,2018-10-24T18.50.09.950,5.270,-0.002048000,-0.002048000,-0.000042437
1540421410050,2018-10-24T18.50.10.050,5.370,-0.002048000,-0.002048000,-0.000042812
1540421410150,2018-10-24T18.50.10.150,5.470,-0.002048000,-0.002048000,-0.000042500
1540421410249,2018-10-24T18.50.10.249,5.569,-0.002048000,-0.002048000,-0.000042125
1540421410349,2018-10-24T18.50.10.349,5.669,-0.002048000,-0.002048000,-0.000042500
