epoc (ms),timestamp (-0400),elapsed (s),x-axis (g),y-axis (g),z-axis (g)
1540421405705,2018-10-24T18.50.05.705,0.000,-0.093,-0.940,-0.226
1540421405786,2018-10-24T18.50.05.786,0.081,-0.088,-0.946,-0.229
1540421405867,2018-10-24T18.50.05.867,0.162,-0.083,-0.943,-0.230
1540421405947,2018-10-24T18.50.05.947,0.242,-0.078,-0.943,-0.230
1540421406028,2018-10-24T18.50.06.028,0.323,-0.085,-0.946,-0.231
1540421406108,2018-10-24T18.50.06.108,0.403,-0.084,-0.946,-0.223
1540421406189,2018-10-24T18.50.06.189,0.484,-0.089,-0.948,-0.216
1540421406269,2018-10-24T18.50.06.269,0.564,-0.077,-0.946,-0.214
1540421406350,2018-10-24T18.50.06.350,0.645,-0.081,-0.946,-0.231
1540421406431,2018-10-24T18.50.06.431,0.726,-0.065,-0.944,-0.226
1540421406511,2018-10-24T18.50.06.511,0.806,-0.066,-0.948,-0.219
1540421406592,2018-10-24T18.50.06.592,0.887,-0.076,-0.946,-0.221
1540421406672,2018-10-24T18.50.06.672,0.967,-0.074,-0.946,-0.222
1540421406753,2018-10-24T18.50.06.753,1.048,-0.075,-0.948,-0.219
1540421406833,2018-10-24T18.50.06.833,1.128,-0.081,-0.947,-0.216
1540421406914,2018-10-24T18.50.06.914,1.209,-0.074,-0.946,-0.218
1540421406995,2018-10-24T18.50.06.995,1.290,-0.077,-0.947,-0.216
1540421407075,2018-10-24T18.50.07.075,1.370,-0.076,-0.948,-0.215
1540421407156,2018-10-24T18.50.07.156,1.451,-0.074,-0.948,-0.216
1540421407236,2018-10-24T18.50.07.236,1.531,-0.073,-0.947,-0.219
1540421407317,2018-10-24T18.50.07.317,1.612,-0.073,-0.946,-0.219
1540421407397,2018-10-24T18.50.07.397,1.692,-0.079,-0.947,-0.214
1540421407478,2018-10-24T18.50.07.478,1.773,-0.085,-0.948,-0.214
1540421407557,2018-10-24T18.50.07.557,1.852,-0.083,-0.947,-0.220
1540421407638,2018-10-24T18.50.07.638,1.933,-0.079,-0.948,-0.221
1540421407718,2018-10-24T18.50.07.718,2.013,-0.076,-0.945,-0.224
1540421407799,2018-10-24T18.50.07.799,2.094,-0.074,-0.948,-0.212
1540421407879,2018-10-24T18.50.07.879,2.174,-0.085,-0.948,-0.209
1540421407960,2018-10-24T18.50.07.960,2.255,-0.081,-0.947,-0.216
1540421408040,2018-10-24T18.50.08.040,2.335,-0.073,-0.945,-0.218
1540421408121,2018-10-24T18.50.08.121,2.416,-0.087,-0.946,-0.211
1540421408202,2018-10-24T18.50.08.202,2.497,-0.094,-0.950,-0.211
1540421408282,2018-10-24T18.50.08.282,2.577,-0.085,-0.948,-0.214
1540421408363,2018-10-24T18.50.08.363,2.658,-0.077,-0.946,-0.218
1540421408443,2018-10-24T18.50.08.443,2.738,-0.070,-0.947,-0.220
1540421408524,2018-10-24T18.50.08.524,2.819,-0.074,-0.947,-0.219
1540421408604,2018-10-24T18.50.08.604,2.899,-0.077,-0.948,-0.218
1540421408685,2018-10-24T18.50.08.685,2.980,-0.072,-0.949,-0.215
1540421408766,2018-10-24T18.50.08.766,3.061,-0.069,-0.948,-0.218
1540421408846,2018-10-24T18.50.08.846,3.141,-0.064,-0.947,-0.221
1540421408927,2018-10-24T18.50.08.927,3.222,-0.070,-0.946,-0.223
1540421409007,2018-10-24T18.50.09.007,3.302,-0.070,-0.947,-0.218
1540421409088,2018-10-24T18.50.09.088,3.383,-0.073,-0.947,-0.220
1540421409168,2018-10-24T18.50.09.168,3.463,-0.074,-0.947,-0.219
1540421409249,2018-10-24T18.50.09.249,3.544,-0.072,-0.948,-0.221
1540421409330,2018-10-24T18.50.09.330,3.625,-0.070,-0.947,-0.223
1540421409410,2018-10-24T18.50.09.410,3.705,-0.066,-0.946,-0.223
1540421409489,2018-10-24T18.50.09.489,3.784,-0.066,-0.947,-0.220
1540421409570,2018-10-24T18.50.09.570,3.865,-0.069,-0.945,-0.227
1540421409650,2018-10-24T18.50.09.650,3.945,-0.052,-0.939,-0.239
1540421409731,2018-10-24T18.50.09.731,4.026,-0.066,-0.950,-0.216
1540421409811,2018-10-24T18.50.09.811,4.106,-0.086,-0.945,-0.231
1540421409892,2018-10-24T18.50.09.892,4.187,-0.054,-0.942,-0.235
1540421409973,2018-10-24T18.50.09.973,4.268,-0.071,-0.946,-0.230
1540421410053,2018-10-24T18.50.10.053,4.348,-0.069,-0.947,-0.230
1540421410134,2018-10-24T18.50.10.134,4.429,-0.063,-0.949,-0.225
1540421410214,2018-10-24T18.50.10.214,4.509,-0.060,-0.945,-0.220
1540421410295,2018-10-24T18.50.10.295,4.590,-0.045,-0.944,-0.230
1540421410375,2018-10-24T18.50.10.375,4.670,-0.035,-0.941,-0.234
1540421410456,2018-10-24T18.50.10.456,4.751,-0.032,-0.942,-0.238
1540421410537,2018-10-24T18.50.10.537,4.832,-0.034,-0.947,-0.230
1540421410617,2018-10-24T18.50.10.617,4.912,-0.033,-0.948,-0.229
1540421410698,2018-10-24T18.50.10.698,4.993,-0.032,-0.946,-0.235
1540421410778,2018-10-24T18.50.10.778,5.073,-0.026,-0.945,-0.228
1540421410859,2018-10-24T18.50.10.859,5.154,-0.020,-0.947,-0.221
1540421410939,2018-10-24T18.50.10.939,5.234,-0.026,-0.948,-0.222
1540421411020,2018-10-24T18.50.11.020,5.315,-0.021,-0.945,-0.231
1540421411101,2018-10-24T18.50.11.101,5.396,-0.024,-0.943,-0.234
1540421411181,2018-10-24T18.50.11.181,5.476,-0.030,-0.944,-0.241
1540421411262,2018-10-24T18.50.11.262,5.557,-0.032,-0.946,-0.229
1540421411341,2018-10-24T18.50.11.341,5.636,-0.038,-0.946,-0.232
1540421411421,2018-10-24T18.50.11.421,5.716,-0.038,-0.943,-0.233
1540421411502,2018-10-24T18.50.11.502,5.797,-0.039,-0.947,-0.232
1540421411582,2018-10-24T18.50.11.582,5.877,-0.038,-0.944,-0.231
