epoc (ms),timestamp (-0400),elapsed (s),x-axis (deg/s),y-axis (deg/s),z-axis (deg/s)
1540421405546,2018-10-24T18.50.05.546,0.000,-0.061,1.463,-2.378
1540421405585,2018-10-24T18.50.05.585,0.039,0.000,0.915,-1.646
1540421405626,2018-10-24T18.50.05.626,0.080,0.366,1.341,-1.585
1540421405666,2018-10-24T18.50.05.666,0.120,1.159,0.244,-0.976
1540421405707,2018-10-24T18.50.05.707,0.161,1.280,-0.183,-0.427
1540421405746,2018-10-24T18.50.05.746,0.200,1.402,0.122,-0.366
1540421405786,2018-10-24T18.50.05.786,0.240,1.646,0.183,-0.549
1540421405827,2018-10-24T18.50.05.827,0.281,1.707,-0.610,-0.732
1540421405867,2018-10-24T18.50.05.867,0.321,1.768,-0.854,-0.610
1540421405908,2018-10-24T18.50.05.908,0.362,1.463,-1.524,-1.524
1540421405947,2018-10-24T18.50.05.947,0.401,0.793,-0.793,-1.829
1540421405988,2018-10-24T18.50.05.988,0.442,0.488,-0.732,-1.951
1540421406028,2018-10-24T18.50.06.028,0.482,0.915,-1.524,-1.585
1540421406069,2018-10-24T18.50.06.069,0.523,1.098,-2.805,-1.951
1540421406108,2018-10-24T18.50.06.108,0.562,0.122,-2.988,-1.585
1540421406149,2018-10-24T18.50.06.149,0.603,0.915,-2.805,-1.341
1540421406189,2018-10-24T18.50.06.189,0.643,1.768,-2.683,-0.732
1540421406230,2018-10-24T18.50.06.230,0.684,2.134,-3.049,-0.427
1540421406269,2018-10-24T18.50.06.269,0.723,1.829,-0.427,0.366
1540421406310,2018-10-24T18.50.06.310,0.764,2.744,0.732,-0.549
1540421406350,2018-10-24T18.50.06.350,0.804,2.195,-0.366,-0.305
1540421406391,2018-10-24T18.50.06.391,0.845,0.732,-3.232,-0.366
1540421406431,2018-10-24T18.50.06.431,0.885,-0.610,-4.634,-0.976
1540421406472,2018-10-24T18.50.06.472,0.926,0.793,-1.585,-1.280
1540421406511,2018-10-24T18.50.06.511,0.965,2.073,0.732,-0.915
1540421406552,2018-10-24T18.50.06.552,1.006,0.549,-0.549,-0.793
1540421406592,2018-10-24T18.50.06.592,1.046,0.610,-0.671,-1.585
1540421406631,2018-10-24T18.50.06.631,1.085,0.610,-1.768,-1.280
1540421406672,2018-10-24T18.50.06.672,1.126,0.793,-1.341,-0.854
1540421406712,2018-10-24T18.50.06.712,1.166,0.671,-1.159,-1.402
1540421406753,2018-10-24T18.50.06.753,1.207,0.610,-0.183,-0.854
1540421406792,2018-10-24T18.50.06.792,1.246,1.098,0.061,-0.976
1540421406833,2018-10-24T18.50.06.833,1.287,1.159,-0.793,-1.037
1540421406873,2018-10-24T18.50.06.873,1.327,0.854,0.183,-0.793
1540421406914,2018-10-24T18.50.06.914,1.368,0.793,0.915,-1.037
1540421406954,2018-10-24T18.50.06.954,1.408,0.610,1.585,-0.610
1540421406995,2018-10-24T18.50.06.995,1.449,0.854,2.134,-1.037
1540421407034,2018-10-24T18.50.07.034,1.488,0.854,1.585,-0.366
1540421407075,2018-10-24T18.50.07.075,1.529,1.280,1.951,0.061
1540421407115,2018-10-24T18.50.07.115,1.569,0.976,1.402,-0.305
1540421407156,2018-10-24T18.50.07.156,1.610,1.098,1.585,0.305
1540421407195,2018-10-24T18.50.07.195,1.649,1.585,0.610,0.854
1540421407236,2018-10-24T18.50.07.236,1.690,1.159,-0.183,0.671
1540421407276,2018-10-24T18.50.07.276,1.730,1.098,0.000,0.610
1540421407317,2018-10-24T18.50.07.317,1.771,1.159,0.061,0.366
1540421407356,2018-10-24T18.50.07.356,1.810,0.793,-0.183,0.305
1540421407397,2018-10-24T18.50.07.397,1.851,1.098,0.366,0.183
1540421407437,2018-10-24T18.50.07.437,1.891,1.037,0.000,0.549
1540421407478,2018-10-24T18.50.07.478,1.932,1.280,-0.793,0.427
1540421407517,2018-10-24T18.50.07.517,1.971,1.402,-0.854,0.732
1540421407559,2018-10-24T18.50.07.559,2.013,1.707,-1.829,0.793
1540421407598,2018-10-24T18.50.07.598,2.052,1.646,-1.951,0.610
1540421407638,2018-10-24T18.50.07.638,2.092,1.402,-1.768,0.305
1540421407679,2018-10-24T18.50.07.679,2.133,0.671,-2.439,0.549
1540421407718,2018-10-24T18.50.07.718,2.172,-0.549,-3.780,-0.305
1540421407759,2018-10-24T18.50.07.759,2.213,-0.854,-3.171,-1.707
1540421407799,2018-10-24T18.50.07.799,2.253,0.610,-0.244,-1.707
1540421407840,2018-10-24T18.50.07.840,2.294,-0.061,-0.244,-1.341
1540421407879,2018-10-24T18.50.07.879,2.333,-0.122,0.244,-1.402
1540421407920,2018-10-24T18.50.07.920,2.374,-0.305,0.305,-0.793
1540421407960,2018-10-24T18.50.07.960,2.414,-0.671,-0.549,-0.610
1540421408001,2018-10-24T18.50.08.001,2.455,-1.220,-0.915,-0.915
1540421408040,2018-10-24T18.50.08.040,2.494,-1.280,1.098,-1.707
1540421408081,2018-10-24T18.50.08.081,2.535,-0.366,2.378,-2.073
1540421408121,2018-10-24T18.50.08.121,2.575,-0.183,2.561,-2.256
1540421408162,2018-10-24T18.50.08.162,2.616,0.061,2.134,-1.829
1540421408202,2018-10-24T18.50.08.202,2.656,0.732,1.768,-0.732
1540421408243,2018-10-24T18.50.08.243,2.697,1.098,2.378,-0.183
1540421408282,2018-10-24T18.50.08.282,2.736,1.341,2.378,-0.244
1540421408323,2018-10-24T18.50.08.323,2.777,1.341,2.866,0.122
1540421408363,2018-10-24T18.50.08.363,2.817,1.585,2.256,-0.122
1540421408404,2018-10-24T18.50.08.404,2.858,0.915,2.012,-0.549
1540421408443,2018-10-24T18.50.08.443,2.897,0.976,2.256,-0.976
1540421408483,2018-10-24T18.50.08.483,2.937,0.427,2.317,-1.280
1540421408524,2018-10-24T18.50.08.524,2.978,0.305,3.110,-1.402
1540421408563,2018-10-24T18.50.08.563,3.017,0.732,2.561,-1.524
1540421408604,2018-10-24T18.50.08.604,3.058,0.488,1.220,-0.854
1540421408644,2018-10-24T18.50.08.644,3.098,0.854,1.768,-0.732
1540421408685,2018-10-24T18.50.08.685,3.139,1.098,3.110,-0.793
1540421408725,2018-10-24T18.50.08.725,3.179,0.671,1.280,-0.183
1540421408766,2018-10-24T18.50.08.766,3.220,1.402,1.585,0.305
1540421408805,2018-10-24T18.50.08.805,3.259,1.402,2.012,0.061
1540421408846,2018-10-24T18.50.08.846,3.300,0.732,1.646,0.000
1540421408886,2018-10-24T18.50.08.886,3.340,0.671,2.317,-0.183
1540421408927,2018-10-24T18.50.08.927,3.381,-0.122,0.427,-0.427
1540421408966,2018-10-24T18.50.08.966,3.420,0.000,-0.976,-0.732
1540421409007,2018-10-24T18.50.09.007,3.461,0.000,-1.280,-0.732
1540421409047,2018-10-24T18.50.09.047,3.501,-0.061,-0.732,-1.037
1540421409088,2018-10-24T18.50.09.088,3.542,0.488,-0.610,-1.159
1540421409127,2018-10-24T18.50.09.127,3.581,0.366,-0.610,-0.732
1540421409168,2018-10-24T18.50.09.168,3.622,0.427,-0.732,-0.732
1540421409208,2018-10-24T18.50.09.208,3.662,0.732,-2.317,-0.610
1540421409249,2018-10-24T18.50.09.249,3.703,0.732,-2.256,-0.427
1540421409288,2018-10-24T18.50.09.288,3.742,0.610,-2.012,-0.305
1540421409330,2018-10-24T18.50.09.330,3.784,0.793,-2.195,-0.427
1540421409369,2018-10-24T18.50.09.369,3.823,0.610,-1.646,-0.305
1540421409410,2018-10-24T18.50.09.410,3.864,0.488,-2.012,-0.488
1540421409450,2018-10-24T18.50.09.450,3.904,0.061,-1.220,-1.159
1540421409491,2018-10-24T18.50.09.491,3.945,-0.427,-1.829,-1.280
1540421409530,2018-10-24T18.50.09.530,3.984,0.061,-0.793,-0.366
1540421409570,2018-10-24T18.50.09.570,4.024,-1.402,-1.524,0.061
1540421409611,2018-10-24T18.50.09.611,4.065,-3.841,-2.012,0.122
1540421409650,2018-10-24T18.50.09.650,4.104,-4.939,1.098,-0.915
1540421409691,2018-10-24T18.50.09.691,4.145,-3.841,1.037,-3.780
1540421409731,2018-10-24T18.50.09.731,4.185,-0.061,-0.183,-4.878
1540421409772,2018-10-24T18.50.09.772,4.226,0.976,-3.232,-3.415
1540421409811,2018-10-24T18.50.09.811,4.265,-0.549,-7.683,-3.171
1540421409852,2018-10-24T18.50.09.852,4.306,-0.671,-4.634,-2.988
1540421409892,2018-10-24T18.50.09.892,4.346,-0.610,-0.793,-2.439
1540421409933,2018-10-24T18.50.09.933,4.387,-1.341,0.061,-2.439
1540421409973,2018-10-24T18.50.09.973,4.427,-0.732,0.915,-2.317
1540421410014,2018-10-24T18.50.10.014,4.468,0.183,1.098,-1.402
1540421410053,2018-10-24T18.50.10.053,4.507,0.671,3.110,-0.671
1540421410094,2018-10-24T18.50.10.094,4.548,1.280,6.524,0.366
1540421410134,2018-10-24T18.50.10.134,4.588,2.805,8.476,0.488
1540421410175,2018-10-24T18.50.10.175,4.629,3.598,8.720,0.793
1540421410214,2018-10-24T18.50.10.214,4.668,4.451,7.988,0.671
1540421410255,2018-10-24T18.50.10.255,4.709,4.329,9.573,0.305
1540421410295,2018-10-24T18.50.10.295,4.749,4.512,11.098,0.305
1540421410336,2018-10-24T18.50.10.336,4.790,3.780,12.073,0.305
1540421410375,2018-10-24T18.50.10.375,4.829,2.805,11.037,-1.159
1540421410415,2018-10-24T18.50.10.415,4.869,2.012,10.610,-2.134
1540421410456,2018-10-24T18.50.10.456,4.910,0.427,10.976,-3.354
