epoc (ms),timestamp (-0400),elapsed (s),x-axis (T),y-axis (T),z-axis (T)
1540421405499,2018-10-24T18.50.05.499,0.000,-0.002048000,-0.002048000,-0.000499438
1540421405600,2018-10-24T18.50.05.600,0.101,-0.002048000,-0.002048000,-0.000498250
1540421405701,2018-10-24T18.50.05.701,0.202,-0.002048000,-0.002048000,-0.000500562
1540421405802,2018-10-24T18.50.05.802,0.303,-0.002048000,-0.002048000,-0.000500312
1540421405902,2018-10-24T18.50.05.902,0.403,-0.002048000,-0.002048000,-0.000499188
1540421406003,2018-10-24T18.50.06.003,0.504,-0.002048000,-0.002048000,-0.000499562
1540421406104,2018-10-24T18.50.06.104,0.605,-0.002048000,-0.002048000,-0.000499562
1540421406205,2018-10-24T18.50.06.205,0.706,-0.002048000,-0.002048000,-0.000498125
1540421406306,2018-10-24T18.50.06.306,0.807,-0.002048000,-0.002048000,-0.000500562
1540421406407,2018-10-24T18.50.06.407,0.908,-0.002048000,-0.002048000,-0.000500000
1540421406508,2018-10-24T18.50.06.508,1.009,-0.002048000,-0.002048000,-0.000499438
1540421406609,2018-10-24T18.50.06.609,1.110,-0.002048000,-0.002048000,-0.000500375
1540421406710,2018-10-24T18.50.06.710,1.211,-0.002048000,-0.002048000,-0.000499812
1540421406811,2018-10-24T18.50.06.811,1.312,-0.002048000,-0.002048000,-0.000499438
1540421406911,2018-10-24T18.50.06.911,1.412,-0.002048000,-0.002048000,-0.000500188
1540421407012,2018-10-24T18.50.07.012,1.513,-0.002048000,-0.002048000,-0.000499438
1540421407113,2018-10-24T18.50.07.113,1.614,-0.002048000,-0.002048000,-0.000499562
1540421407214,2018-10-24T18.50.07.214,1.715,-0.002048000,-0.002048000,-0.000498687
1540421407315,2018-10-24T18.50.07.315,1.816,-0.002048000,-0.002048000,-0.000499438
1540421407416,2018-10-24T18.50.07.416,1.917,-0.002048000,-0.002048000,-0.000499750
1540421407517,2018-10-24T18.50.07.517,2.018,-0.002048000,-0.002048000,-0.000499625
1540421407619,2018-10-24T18.50.07.619,2.120,-0.002048000,-0.002048000,-0.000499375
1540421407720,2018-10-24T18.50.07.720,2.221,-0.002048000,-0.002048000,-0.000499188
1540421407819,2018-10-24T18.50.07.819,2.320,-0.002048000,-0.002048000,-0.000499438
1540421407920,2018-10-24T18.50.07.920,2.421,-0.002048000,-0.002048000,-0.000499812
1540421408021,2018-10-24T18.50.08.021,2.522,-0.002048000,-0.002048000,-0.000497750
1540421408122,2018-10-24T18.50.08.122,2.623,-0.002048000,-0.002048000,-0.000498875
1540421408224,2018-10-24T18.50.08.224,2.725,-0.002048000,-0.002048000,-0.000499562
1540421408325,2018-10-24T18.50.08.325,2.826,-0.002048000,-0.002048000,-0.000498437
1540421408426,2018-10-24T18.50.08.426,2.927,-0.002048000,-0.002048000,-0.000499750
1540421408527,2018-10-24T18.50.08.527,3.028,-0.002048000,-0.002048000,-0.000499062
1540421408626,2018-10-24T18.50.08.626,3.127,-0.002048000,-0.002048000,-0.000499250
1540421408727,2018-10-24T18.50.08.727,3.228,-0.002048000,-0.002048000,-0.000498687
1540421408829,2018-10-24T18.50.08.829,3.330,-0.002048000,-0.002048000,-0.000499812
1540421408930,2018-10-24T18.50.08.930,3.431,-0.002048000,-0.002048000,-0.000499438
1540421409031,2018-10-24T18.50.09.031,3.532,-0.002048000,-0.002048000,-0.000500000
1540421409132,2018-10-24T18.50.09.132,3.633,-0.002048000,-0.002048000,-0.000499812
1540421409233,2018-10-24T18.50.09.233,3.734,-0.002048000,-0.002048000,-0.000498500
1540421409334,2018-10-24T18.50.09.334,3.835,-0.002048000,-0.002048000,-0.000499250
1540421409435,2018-10-24T18.50.09.435,3.936,-0.002048000,-0.002048000,-0.000499812
1540421409535,2018-10-24T18.50.09.535,4.036,-0.002048000,-0.002048000,-0.000498687
